,dist_kilometers,vendor_code
18918,0.301,39
58748,15.688,79
62741,11.157,0
69915,4.437,97
3228,2.92,97
35121,8.675,97
67061,3.855,97
88746,2.657,64
55643,7.367,71
36154,0.024,0
32009,0.225,71
76980,4.048,97
14117,2.387,32
56153,2.819,117
81676,2.625,64
64208,13.163,0
58790,7.53,0
71540,1.155,97
56804,2.564,71
80217,3.115,64
49049,1.717,97
84862,14.357,39
85960,2.324,80
28498,7.343,86
47530,0.983,71
75362,1.746,97
29959,3.264,79
42389,8.248,80
88477,4.136,21
23576,0.064,97
71329,3.308,97
59996,6.232,64
29942,1.464,97
6762,9.065,0
61312,12.46,80
63151,9.877,71
78287,0.733,38
35353,1.598,97
7565,3.663,97
66591,7.304,52
78799,4.562,66
71625,4.589,0
79133,9.996,80
15649,6.055,0
39129,2.101,97
54647,9.826,71
42039,5.314,97
3684,3.728,64
51202,9.108,71
86161,4.495,66
18933,14.756,39
42212,6.913,97
31944,1.555,97
55636,2.475,80
80672,10.885,97
65139,4.512,10
69636,3.261,52
88396,8.135,0
18742,4.977,97
45493,10.059,97
76878,5.484,97
31738,1.708,52
49735,13.134,81
72139,3.056,97
35302,4.784,43
35864,2.538,97
12489,2.37,64
9650,3.535,31
5053,7.558,72
36374,0.605,80
2179,5.329,71
50489,8.633,71
69287,0.922,80
62694,6.162,52
85329,3.152,97
32248,2.413,14
61031,4.632,97
26341,4.449,0
53597,7.568,80
18471,3.587,81
51442,3.019,97
38674,1.78,97
75929,6.653,71
33392,1.561,97
65883,7.745,97
58438,16.191,101
82591,0.333,97
21473,4.347,79
20120,4.541,97
49477,3.047,80
48241,0.425,97
73731,6.441,71
46210,13.04,97
21105,3.447,9
72577,0.242,79
38711,8.503,97
4610,4.276,0
22448,0.132,71
58003,2.41,80
60095,4.455,81
8453,1.889,99
40058,3.377,97
56235,0.316,0
81144,3.264,97
89973,1.165,10
59376,9.98,71
53703,2.259,97
74096,3.559,97
20623,5.994,10
82246,7.125,0
61485,11.387,99
43377,1.696,97
60060,6.454,71
57705,8.588,97
22187,0.976,97
49249,0.213,0
61995,13.417,0
77188,0.053,45
54939,7.283,0
19318,5.644,79
46022,12.088,64
6744,5.813,71
79510,5.185,105
75692,0.312,45
42237,8.606,80
18963,9.564,40
87961,2.011,64
7495,1.917,71
22633,10.176,97
32185,3.361,97
60484,7.655,79
84289,13.348,88
6205,0.983,43
17012,5.388,97
13447,6.734,80
84881,2.671,97
48260,2.969,106
48730,1.691,80
83355,2.145,64
73462,7.654,39
43819,3.692,0
13703,1.234,80
9156,6.091,71
52680,0.297,38
43107,4.621,64
65672,4.402,79
85469,6.735,97
67866,1.701,10
30056,3.066,97
76575,11.19,3
41712,9.94,97
80330,4.246,80
52018,2.29,97
2383,2.94,64
48207,9.528,71
14377,5.099,10
22956,3.247,71
12685,5.81,97
41333,4.916,97
28566,4.55,48
83731,12.499,39
10951,3.611,97
17132,0.109,0
54664,5.685,97
43938,2.785,97
1515,2.061,105
32811,4.201,97
83295,1.554,80
90091,1.772,97
32004,3.077,64
87171,2.58,97
6921,2.083,97
23670,0.693,10
6911,1.367,3
85522,4.814,0
13729,3.405,108
31506,6.397,6
69813,8.382,52
7047,14.125,71
54696,5.036,48
49965,9.493,0
31275,6.714,0
27071,3.649,97
72443,5.647,71
50133,11.879,0
69808,2.62,52
71605,4.218,97
61771,3.505,31
1250,1.825,0
68620,2.374,39
11434,0.032,38
78,1.58,71
26543,3.759,39
62574,10.806,0
87095,0.978,64
88699,8.23,0
55145,2.283,81
29165,3.035,80
71622,6.771,97
53079,3.293,71
73710,0.272,97
54819,8.382,97
9617,8.145,80
18191,2.892,71
58577,9.377,0
50078,2.97,71
48488,9.033,47
83200,4.439,66
51262,4.539,80
62390,3.637,38
62634,12.767,18
47436,11.671,71
23020,5.836,71
85136,1.208,71
18971,11.87,0
76095,2.42,71
32761,9.474,0
79629,0.174,97
20147,5.717,81
16033,12.404,0
8688,3.699,64
60488,8.291,97
71588,4.821,97
14032,2.665,0
72897,4.562,71
80998,9.708,97
76960,1.848,64
20077,1.742,97
12620,8.935,66
88763,9.609,97
18828,4.717,71
1026,10.856,97
71490,7.014,0
51546,6.012,97
83927,11.887,49
34218,0.147,0
56472,9.044,0
31532,11.225,0
25060,9.797,0
88923,3.988,71
24240,3.475,92
71977,9.243,71
69174,7.255,51
80171,3.708,64
5581,5.87,80
70480,1.448,97
80112,3.72,10
43668,0.022,84
44188,12.163,71
65920,1.759,97
88823,2.137,97
15834,1.891,97
57808,5.468,71
16078,2.508,97
21096,4.134,97
50722,11.451,0
36501,4.091,97
51352,1.113,97
67986,4.962,63
76535,9.475,97
64330,12.267,66
87389,10.668,0
47452,0.082,71
16531,5.42,97
26846,7.903,0
4459,5.376,80
8366,2.664,81
77090,0.09,97
32212,0.126,38
19269,5.174,97
49622,0.08,21
6191,3.075,97
944,4.619,0
2656,4.872,97
8095,7.412,0
31254,3.469,0
54624,4.509,97
61456,9.487,0
24971,6.334,97
8486,1.025,80
14474,9.515,0
72020,3.712,0
35139,2.926,97
33398,7.723,71
5906,1.26,80
9459,3.792,0
60124,11.559,86
65811,1.042,115
57600,7.833,71
55137,4.348,80
53661,2.116,81
69891,4.167,97
18176,4.634,0
49979,1.414,86
8238,9.403,49
86267,2.486,97
52240,4.273,97
49269,4.352,97
39797,8.609,97
76840,0.308,97
10434,9.007,79
76732,0.987,64
52995,1.511,71
57806,1.732,80
1990,1.707,64
15479,2.162,86
38578,1.718,97
54441,0.505,80
7355,3.664,80
59566,14.216,97
40603,4.58,97
16219,7.26,80
26613,6.57,97
35887,1.192,97
26348,0.023,80
71091,18.488,98
45973,1.641,71
78095,0.406,97
2901,4.309,97
33771,1.002,97
11200,8.524,97
46578,6.641,97
71863,1.126,80
18624,6.176,97
58308,6.381,97
51988,11.066,97
20651,5.612,97
34835,1.127,10
4590,1.94,97
52755,2.682,97
44703,1.87,97
34919,6.832,10
31098,7.544,80
50195,2.455,97
33258,1.564,71
35909,1.607,71
22302,8.376,71
56301,2.672,71
47156,1.253,97
58006,1.864,80
78878,7.54,80
50265,0.363,97
41298,1.275,80
28681,2.673,97
57348,6.566,0
79649,3.163,97
37004,4.021,71
49897,16.179,40
26396,3.269,97
63266,1.027,71
66331,12.352,71
23132,1.701,64
7866,3.671,97
87589,4.269,31
43190,0.729,80
75331,4.087,10
11678,10.38,0
49715,6.457,71
23000,13.712,97
85576,4.389,97
38019,1.06,97
25215,3.497,97
71016,0.022,71
83015,5.218,80
35014,6.356,97
85679,3.613,39
2119,1.515,64
56185,6.071,20
34644,0.24,105
30606,4.348,71
22792,0.026,97
25619,2.78,97
43737,1.386,43
12532,0.092,80
60946,13.078,80
55619,6.473,0
73725,4.571,71
58331,4.361,97
70191,4.469,81
30402,0.035,97
85769,3.876,97
15285,0.242,80
87743,4.479,97
88914,6.438,76
32993,2.321,97
72106,0.329,97
6094,3.449,64
2049,6.864,97
50847,5.329,105
67943,4.375,0
77623,1.947,80
58802,11.593,0
15160,4.526,97
63045,5.586,39
58121,11.039,0
16293,4.114,71
45935,0.304,81
22087,3.29,71
39913,12.364,71
62315,8.621,0
29752,4.396,97
50581,4.067,97
23288,1.436,97
2767,1.421,79
30693,5.489,105
78739,1.638,97
44391,4.625,71
18076,0.148,71
27019,0.941,97
46613,6.04,80
33171,1.091,39
76429,3.895,63
47102,1.919,97
51244,1.212,97
36527,5.058,71
68065,3.837,97
47488,12.868,81
73982,8.663,0
36563,2.879,97
56935,2.183,81
79396,1.242,71
7506,6.67,97
75271,10.041,63
60308,2.609,97
72624,6.33,97
73332,5.402,97
46789,0.228,81
84441,5.356,71
58383,15.835,42
89688,2.451,97
38302,3.244,71
21551,2.113,92
79500,9.713,71
43060,7.093,71
36016,2.079,71
36480,1.778,80
44501,0.6,97
41563,4.937,97
67316,0.999,97
33632,4.2,97
47205,13.769,97
17964,2.029,79
34138,1.414,97
59126,0.264,97
53158,0.061,71
84322,0.13,10
24933,5.237,97
20258,4.518,97
25245,3.654,97
21136,4.351,97
48906,13.519,0
79581,0.301,81
88246,1.329,80
6331,17.326,97
72218,0.938,80
1873,0.076,80
26114,9.652,97
44455,3.855,97
5457,3.19,71
85554,6.191,46
76603,1.947,69
51166,2.575,126
18519,4.268,0
23289,4.198,97
70772,0.823,71
58105,14.652,16
66195,1.748,97
64814,5.577,97
3783,6.072,86
15631,0.117,72
10771,1.409,97
23932,2.935,97
70696,0.989,81
75324,2.444,3
28848,0.032,10
38124,1.314,80
20564,8.051,97
18914,10.133,43
74542,4.172,97
18062,16.504,71
84059,9.052,0
35958,8.365,71
72753,4.2,0
31839,9.954,97
65372,1.612,49
3158,11.65,0
83714,0.159,97
75116,1.536,81
22329,4.122,71
58234,1.425,0
4882,3.904,97
78186,3.128,80
79508,5.027,105
19179,4.143,97
4012,0.093,80
42996,2.375,10
41748,3.993,49
74518,0.179,134
66265,3.468,22
87172,10.078,0
7321,2.697,3
80941,0.163,97
64879,0.253,71
83002,4.906,97
10030,1.956,97
